简称,代码,当月净利润-净利润,当月净利润-同比增长,当月净利润-环比增长,当年累计净利润-累计净利润,当年累计净利润-同比增长,当月营业收入-营业收入,当月营业收入-环比增长,当月营业收入-同比增长,当年累计营业收入-累计营业收入,当年累计营业收入-同比增长,净资产-净资产,净资产-同比增长
广发证券,000776,68079.485932,35.3602593755,44.414850131085,241065.878222,1.1377360523,150906.347362,23.9908994007,36.723339397966,535500.264535,-4.9337294654,8878713.098537,6.0983834176
西南证券,600369,10153.9,291.1182842087,-9.596697941021,32702.61,-47.0439953169,34565.27,169.1144091286,44.154400188507,89109.29,-32.5990114493,1976812.69,5.1824431985
东北证券,000686,19464.85,1840.1214018021,31.62731566793,57129.6,7.8639058751,43460.59,326.3107455138,40.229740046115,137059.31,3.4699837018,1618389.42,4.3754441258
太平洋,601099,1074.46,109.4717151451,-84.576361694553,11108.07,-52.8943420134,7373.05,211.6142861684,-50.142208361284,40864.95,-35.5047828159,1046197.9,3.302652259
申万宏源,000166,156658.0,232.6778509238,61.571385843501,341577.0,61.4319066883,239331.0,145.2639345774,28.268466015671,625135.0,29.3089361104,7945952.0,10.5792531416
海通证券,600837,96773.38,65.9442562006,36.460559241725,323022.01,3.1837195746,206463.98,56.3283756352,242.422087872047,605553.48,3.0118357886,12032856.65,3.8224297643
国海证券,000750,19194.615013,70.3102991767,143.869996217286,51090.954387,80.7466272559,52906.765454,78.5387958074,124.280416486323,135013.46065,54.0321614567,1776789.724004,33.0965264224
华泰证券,601688,78019.45,47.0457579016,-9.154500965109,304095.84,-6.7391071336,173564.15,31.6963819948,-9.001462254283,676012.95,5.8586719846,12341873.71,14.8179584087
长江证券,000783,28988.14,-59.0183393036,373.906340681887,74420.65,-50.2659232862,,,,,,3115691.86,10.2372733925
华西证券,002926,24595.36,51.4136453125,107.26718071883,60097.41,-0.7734555408,55501.03,32.1053319341,107.069984251781,142509.18,1.7097122022,2002421.6,6.1985224935
光大证券,601788,60001.753808,396.3976131962,1.454151951573,170559.045867,21.2168269303,115683.36404,87.4995031501,47.109805022786,350195.430506,1.9404492532,5191308.532219,2.3431862888
华安证券,600909,11005.49,-2.3574242317,-7.334518859806,46648.94,7.2148869587,26397.67,38.3730194924,-2.550917948014,103412.86,7.8305481615,1371776.15,9.652563752
东方证券,600958,59493.09,265.739956352,99.570119641926,164941.04,45.0938802683,149081.59,161.4014566646,136.677604501462,389668.91,36.4654375719,5598728.69,4.5382782897
长城证券,002939,12596.91,107.7350826939,13.527506982302,48285.94,42.4182102994,34566.31,59.5200044303,10.21151582997,129363.95,14.5461460065,1725531.65,3.1145003703
第一创业,002797,10003.99,5689.3460648148,156.771310577069,34720.44,44.8043143799,26465.52,268.9489517957,97.579816123361,89315.06,32.5699206971,966296.19,5.3962078637
国金证券,600109,20891.77,231.9779378115,63.094504828797,63540.62,37.147037068,57704.5,145.2389320656,42.423277602539,185803.94,50.2357592175,2097735.57,6.7479835001
西部证券,002673,19674.24,1015.1996100193,585.465821197129,45102.11,-24.9211375896,37663.77,198.4744142848,77.352105221522,111343.74,-10.9681991072,1828071.09,1.7508095234
中银证券,601696,10172.51,,-33.870838775021,34008.57,,29890.82,,-1.949732985186,86223.27,,1415212.68,
山西证券,002500,11175.37,49.8095102765,10.548172182351,37501.63,37.1291093065,29132.59,32.259927352,-0.744029924735,106219.84,35.8414374302,1411993.17,4.4246467734
南京证券,601990,9131.74,24.3882571527,0.915804956862,30196.64,6.9862344414,25530.34,55.0374349996,28.07781489014,76954.63,19.8024398373,1139362.39,5.4307941832
中原证券,601375,8586.95,592.4792142126,378.476107084367,10264.51,-24.7133800942,25144.17,189.8055835375,127.162154592811,61760.12,15.2162156061,1004164.53,2.1149077961
中信建投,601066,103886.72,200.3495081184,96.159873172756,292975.19,63.2641814751,211002.4,130.7795118249,81.969714374616,615926.17,61.48035512,5799100.34,20.8624751221
中信证券,600030,162426.0,184.5335902601,19.787602787713,512354.0,42.5077949639,350595.0,140.8958485069,9.923341014909,1200465.0,52.5616618713,16831699.0,23.9369065039
红塔证券,601236,21168.11,,586.787719068283,68093.51,,37543.55,,1559.92393869988,122945.2,,1352353.98,
中国银河,601881,83429.36,135.2102558435,70.168879069434,245229.07,38.8119142656,170567.86,84.0551449384,36.012801327914,555993.72,30.4401812285,7297873.85,7.5434910972
财通证券,601108,17561.63,94.0192167256,530.036853382308,28694.75,-30.3674215216,53059.54,61.6151296953,201.000924681042,130755.22,-8.7755785333,2116647.39,6.241029871
招商证券,600999,82020.637477,65.0326335754,15.828506860961,285527.713064,28.9238430641,185764.828063,64.9407030469,18.952253599291,619041.270786,24.4494304204,8590376.929778,6.0382444885
国信证券,002736,56775.29,168.3048418912,-0.193459334162,229967.59,18.0113284262,139419.46,74.294978955,-0.239463423332,545537.22,32.4606934231,5529022.9,2.9951506567
方正证券,601901,12395.3,-22.6244502068,137.983515312558,59229.06,-18.3204273055,50743.01,-0.5827145265,-31.337033841094,235892.88,15.571724218,4278249.78,-8.1352722974
国元证券,000728,4848.63,-12.9520813922,-58.547061524138,50778.56,26.1854387118,26520.66,67.9632618008,-20.329046069213,124414.88,27.6150965374,2366434.71,-1.1107332428
东吴证券,601555,15202.27,98.4511373991,160.367234250991,45641.91,-15.5542115019,57018.72,124.1914359465,291.424709462572,141404.08,8.2207099992,2664588.7,30.7631857425
华鑫股份,600621,4442.74,449.0058681666,52.207532366978,10492.36,1884.7460512627,17826.18,271.1738311141,33.815211361492,57174.88,58.9466216231,612523.68,14.1453684302
华林证券,002945,3286.1,105.1722307899,-56.590431427254,19724.7,81.0452597087,8498.61,36.818372078,-27.025815619888,39651.16,43.888840504,549252.38,8.6178373348
国泰君安,601211,79724.17,28.4246858898,-6.611483797026,296067.45,-19.3350224618,200950.12,19.9649782469,8.910493567212,681809.13,-9.1601635159,13648125.26,1.7840778073
浙商证券,601878,10729.64,47.2146950715,-14.154226746056,40525.74,61.4868553495,44390.86,101.0633185449,-3.388224038346,153097.71,71.999007761,1508542.73,4.1195641939
