code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00700,N/A,2023-08-30 00:00:00,333.8,325.8,334.0,325.0,14.774,0.00159,15190035,4992667676.0,-1.0928961748633776,329.4
HK.00700,N/A,2023-08-31 00:00:00,331.0,325.0,331.8,322.0,14.737,0.0052,49737237,16198347014.0,-0.24554941682013853,325.8
HK.00700,N/A,2023-09-04 00:00:00,330.0,333.4,334.6,328.4,15.118,0.00322,30748869,10160809676.0,2.5846153846153777,325.0
HK.00700,N/A,2023-09-05 00:00:00,332.0,329.0,335.0,327.4,14.919,0.00139,13250752,4370874310.0,-1.3197360527894353,333.4
HK.00700,N/A,2023-09-06 00:00:00,329.0,327.6,329.0,323.2,14.855,0.00173,16488562,5381303850.0,-0.4255319148936101,329.0
HK.00700,N/A,2023-09-07 00:00:00,326.6,321.6,327.2,320.2,14.583,0.00175,16724228,5391223905.0,-1.8315018315018312,327.6
HK.00700,N/A,2023-09-11 00:00:00,315.4,324.0,325.4,315.4,14.692,0.00197,18808064,6040944631.0,0.7462686567164107,321.6
HK.00700,N/A,2023-09-12 00:00:00,328.0,322.0,328.0,319.8,14.601,0.00109,10399333,3355116160.0,-0.6172839506172839,324.0
HK.00700,N/A,2023-09-13 00:00:00,326.0,320.2,326.0,319.0,14.52,0.00112,10662703,3421558267.0,-0.5590062111801277,322.0
HK.00700,N/A,2023-09-14 00:00:00,322.4,319.8,322.6,318.4,14.502,0.00106,10153112,3249440578.0,-0.12492192379761939,320.2
HK.00700,N/A,2023-09-15 00:00:00,320.0,317.2,321.8,317.0,14.384,0.00201,19218155,6120466277.0,-0.8130081300813078,319.8
HK.00700,N/A,2023-09-18 00:00:00,317.2,312.2,319.0,312.2,14.157,0.00154,14736625,4644323052.0,-1.5762925598991173,317.2
HK.00700,N/A,2023-09-19 00:00:00,312.8,312.4,314.8,308.8,14.166,0.00163,15579978,4858993927.0,0.06406149903907388,312.2
HK.00700,N/A,2023-09-20 00:00:00,312.6,309.2,312.6,308.0,14.021,0.00143,13663748,4232881515.0,-1.0243277848911616,312.4
HK.00700,N/A,2023-09-21 00:00:00,306.8,303.0,308.4,302.0,13.74,0.002,19116385,5800506675.0,-2.005174644243205,309.2
HK.00700,N/A,2023-09-22 00:00:00,302.0,313.6,314.0,300.2,14.22,0.00222,21236877,6532964150.0,3.498349834983506,303.0
HK.00700,N/A,2023-09-25 00:00:00,311.4,304.4,311.6,303.2,13.803,0.00192,18307015,5598702553.0,-2.9336734693877693,313.6
HK.00700,N/A,2023-09-26 00:00:00,301.0,300.0,303.6,298.2,13.604,0.00167,15924558,4792868840.0,-1.4454664914585997,304.4
HK.00700,N/A,2023-09-27 00:00:00,298.0,302.0,304.2,298.0,13.694,0.00149,14203461,4279249839.0,0.6666666666666667,300.0
HK.00700,N/A,2023-09-28 00:00:00,301.8,297.4,302.6,296.4,13.486,0.00163,15604031,4656643911.0,-1.5231788079470274,302.0
HK.00700,N/A,2023-09-29 00:00:00,297.6,306.2,308.4,297.2,13.885,0.00118,11252646,3427495227.0,2.9589778076664466,297.4
HK.00700,N/A,2023-10-03 00:00:00,302.0,300.6,302.0,296.4,13.59,0.00159,15122710,4529560053.0,-1.8288700195950247,306.2
HK.00700,N/A,2023-10-04 00:00:00,299.8,297.6,300.0,295.4,13.455,0.00115,10942209,3255192428.0,-0.998003992015968,300.6
HK.00700,N/A,2023-10-05 00:00:00,299.8,299.8,303.6,298.6,13.554,0.00113,10801914,3248496149.0,0.7392473118279531,297.6
